,age,D1,D2,D3,D4,D5,N1,N2,N3,N4,N5
1,26,0.286,0.253,0.264,0.269,0.25,0.356,0.248,0.258,0.246,0.254
2,21,0.300,0.274,0.252,0.260,0.288,0.302,0.289,0.294,0.295,0.288
3,22,0.304,0.285,0.310,0.366,0.296,0.305,0.300,0.326,0.317,0.302
4,21,0.278,0.307,0.504,0.341,0.537,0.282,0.393,0.275,0.319,0.311
5,21,0.293,0.277,0.269,0.277,0.287,0.288,0.283,0.307,0.298,0.288
6,20,0.313,0.290,0.310,0.276,0.308,0.291,0.276,0.291,0.288,0.298
7,21,0.273,0.286,0.282,0.265,0.306,0.429,0.288,0.373,0.555,0.337
8,20,0.294,0.266,0.271,0.225,0.317,0.333,0.295,0.582,0.284,0.245
9,21,0.347,0.313,0.316,0.347,0.314,0.301,0.311,0.312,0.318,0.305
10,17,0.310,0.311,0.304,0.296,0.324,0.291,0.256,0.304,0.315,0.365
11,19,0.339,0.255,0.267,0.280,0.289,0.269,0.293,0.284,0.279,0.276
12,21,0.345,0.291,0.302,0.278,0.273,0.277,0.268,0.293,0.261,0.271
13,19,0.282,0.322,0.317,0.352,0.288,0.302,0.354,0.295,0.264,0.361
14,20,0.38,0.312,0.288,0.293,0.304,0.257,0.282,0.271,0.284,0.253
15,21,0.292,0.299,0.288,0.293,0.313,0.294,0.3,0.279,0.275,0.292
16,20,0.353,0.294,0.301,0.291,0.292,0.34,0.362,0.309,0.302,0.3
17,21,0.364,0.332,0.333,0.358,0.349,0.365,0.38,0.338,0.337,0.384
18,19,0.375,0.289,0.346,0.254,0.263,0.278,0.319,0.299,0.291,0.261
19,52,0.269,0.264,0.408,0.248,0.271,0.296,0.287,0.302,0.299,0.27
20,20,0.503,0.316,0.721,0.327,0.32,0.308,0.287,0.304,0.514,0.33
21,21,0.371,0.403,0.318,0.316,0.343,0.298,0.358,0.305,0.337,0.293